IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP114;IC_GROUP0;IC_GROUP1;IC_GROUP2
13895;Как питаться правильно?;15075;Y;;;;"<ul>
                            <li>Ежедневно включайте в питание продукты, содержащие белок. К ним относятся нежирные сорта
                                мяса и птицы, рыба, яйца, молочные продукты.
                            </li>
                            <li>Распределение БЖУ в рационе может быть следующим: белки от 10 до 35%, жиры от 20 до 35%,
                                углеводы от 40 до 65%. Оптимальным для поддержания веса является следующее распределение
                                БЖУ: 20%, 30%, 50%.
                            </li>
                            <li>Не забывайте о жирах. В питании нам необходимы, как насыщенные, так и не насыщенные
                                жирные кислоты. Среди всего многообразия акцент делайте на рыбе и жирах растительного
                                происхождения.
                            </li>
                            <li>Трансжирам нет места в структуре здорового питания.</li>
                            <li>В качестве источника энергии используйте крупы, бобовые, изделия из нерафинированный
                                муки и корнеплоды.
                            </li>
                            <li>Ограничивайте продукты с добавленным сахаром. В вашем рационе они должны занимать не
                                более 10% от суточной калорийности.
                            </li>
                            <li>Прекрасным источником клетчатки и натуральных витаминов являются овощи, в особенности
                                некрахмалистые. Их можно включать в каждый приём пищи.
                            </li>
                            <li>Фрукты также можно рассматривать в качестве клетчатки и источникавитаминов. Но, если
                                ваша цель похудение, стоит ограничить их количество.
                            </li>
                            <li>Молочные продукты важны для получения кальция. Альтернативой коровьему молоку может
                                стать козье молоко и любые продукты из него.
                            </li>
                            <li>При непереносимости молочных продуктов в качестве альтернативы отлично подойдут
                                растительные источники кальция, например соя, кунжутная паста или молоко.
                            </li>
                            <li>Самым лучшим диетическим напитком является вода.</li>
                            <li>Важно ограничивать потребление соли, даже при нормальном артериальном давлении. Но не
                                исключайте Ее из рациона совсем.
                            </li>
                            <li>Используйте щадящие способы приготовления пищи, вроде запекания, варки, тушения.</li>
                        </ul>";html;;;text;;500;;;;;
13896;Какое питание можно считать здоровым?;15076;Y;;;;"<p>
	 Разнообразное, умеренное и сбалансированное. Энергетическая ценность питания должна равняться&nbsp;энергозатратам&nbsp;человека. Если&nbsp;энергозатрат&nbsp;меньше, чем поступающих с пищей калорий, избыток питательных веществ будет откладываться в виде жира.
</p>
<p>
	 В действующих европейских и российских рекомендациях выделяются следующие критерии здорового питания.
</p>
<p>
</p>
<ol>
	<li>
	<p>
		Насыщенные жиры – менее 10% суточной калорийности и замещение поли-и мононенасыщенными жирными кислотами
	</p>
	</li>
	<li>
	<p>
		Трансжиры&nbsp;– максимально исключить из рациона питания, менее 1% от общей калорийности рациона
	</p>
	</li>
	<li>
	<p>
		Соль – менее 5 г в день
	</p>
	</li>
	<li>
	<p>
		Овощи – более 250 г вдень (2-3 порции)
	</p>
	</li>
	<li>
	<p>
		Фрукты – более 250 г в день (2-3 порции)
	</p>
	</li>
	<li>
	<p>
		Рыба – 1-2 раза в неделю, в 1 из приемов – жирная рыба
	</p>
	</li>
	<li>
	<p>
		Нежирные птица, дичь, постное мясо – не менее 400 г в день
	</p>
	</li>
	<li>
	<p>
		Молоко и молочные продукты – пониженной жирности
	</p>
	</li>
	<li>
	<p>
		Цельнозерновые&nbsp;продукты – ежедневно хлеб&nbsp;цельнозерновой&nbsp;и крупы – овес, гречка, пшено, полба, рис нешлифованный, макароны из пшеницы твердых сортов
	</p>
	</li>
	<li>
	<p>
		Орехи&nbsp;– несоленые, 30 г вдень
	</p>
	</li>
	<li>
	<p>
		Пищевые волокна – 30-40 г вдень, предпочтительно из овощей, фруктов,&nbsp;цельнозерновых&nbsp;продуктов и бобовых
	</p>
	</li>
	<li>
	<p>
		Сладкие безалкогольные напитки – следует значительно сократить употребление&nbsp;
	</p>
	</li>
</ol>
<p>
</p>";html;;;text;;500;;;;;
13897;Что такое нездоровое питание?;15077;Y;;;;"<p>
	 Нездоровое питание – это потребление еды, в которой содержится большое количество насыщенных жиров,&nbsp;трансжиров, поваренной соли и сахара.
</p>
<p>
	Регулярное потребление подобной еды обычно приводит к избыточной массе тела, ожирению, хроническим болезням сердца и сосудов, сахарному диабету, онкологическим заболеваниям, болезням желудочно-кишечного тракта, заболеваниям костно-мышечной системы.
</p>
<p>
	Часто критикуемый фаст-фуд –&nbsp;бургеры, хот-доги, чипсы – содержат множество вредных для здоровья компонентов. Еще один пример нездоровой еды – это так называемые промышленно обработанные продукты: копчености, полуфабрикаты, некоторые виды консервации. Технология приготовления лишает их важных питательных веществ и витаминов. Затем, чтобы гарантировать хранение, в них обычно добавляют в значительных количествах соль, сахар, жир и разного рода консерванты. Как правило, люди выбирают подобную еду не потому, что у них нет альтернативы.&nbsp;
</p>
<p>
	Возможно ли отказаться от такой еды? Да, и это проще простого: начните покупать свежие продукты и готовить дома.&nbsp;
</p>";html;;;text;;500;;;;;
13898;Какой вес считается оптимальным?;15078;Y;;;;"<p>
	 Для того, чтобы оценить массу тела, используется индекс массы тела (ИМТ). Индекс массы тела&nbsp;определяют&nbsp;как отношение массы тела в кг к росту в метрах, возведенному в квадрат.
</p>
<p>
	 Нормальной масса тела считается при индексе от 18,5 до 24,9 кг\м2. При индексе от 25,0 до 29,9 кг\м2 масса тела считается избыточной, а индекс, равный 30 кг\м2 и выше, указывает на различные степени ожирения. Эта формула не подходит для беременных женщин и часто дает недостоверные результаты у людей с большой&nbsp;мышечной массой, например, у спортсменов.&nbsp;
</p>";html;;;text;;500;;;;;
13899;Почему лишний вес опасен?;15079;Y;;;;"По данным ВОЗ, избыточная масса тела и ожирение предопределяют развитие до 44% всех случаев сахарного диабета 2-го типа и до 23%&nbsp;всех случаев ишемической болезни сердца. При выраженном ожирении формируются жировые отложения на самом сердце, которые затрудняют его работу. Ожирение является признанным драйвером развития артериальной гипертонии: увеличение массы тела на 5 кг автоматически повышает артериальное давление примерно на 6-7 мм&nbsp;рт.ст., и наоборот. Зачастую нормализации массы тела бывает достаточно, чтобы справиться с повышенным артериальным давлением.";html;;;text;;500;;;;;
13900;Какова индивидуальная калорийность рациона?;15080;Y;;;;"<p>
	 Энергетические затраты человека включают в себя основной обмен,&nbsp;энергозатраты, необходимые на переваривание пищи, а также и на выполнение умственной и физической работы.&nbsp;
</p>
<p>
	 Основной обмен -это минимальное количество калорий, которое необходимо человеку в состоянии полного покоя, как физического, так и умственного. В среднем основной обмен составляет 1300-1400 ккал для женщин и 1600-1800 ккал для мужчин.&nbsp;
</p>";html;;;text;;500;;;;;
13901;Как рассчитать калорийность БЖУ?;15081;Y;;;;"<p>
	 1 г белка составляет 4 ккал
</p>
<p>
	 1 г жира - 9 ккал
</p>
<p>
	 1 г углеводов - 4 ккал
</p>
<p>
	 Чтобы перевести ккал в граммы и определить суточную потребность в белках, жирах и углеводах, при&nbsp;расчете&nbsp; 1500&nbsp;ккал в сутки, необходимо сделать завершающий расчёт:
</p>
<p>
	 300 ккал / 4 ккал = 75 г белков
</p>
<p>
	 450 ккал / 9 ккал = 50&nbsp;г&nbsp;жиров
</p>
<p>
	 750 ккал / 4 ккал = 187&nbsp;г&nbsp;углеводов
</p>";html;;;text;;500;;;;;
13902;Абдоминальное ожирение, что это?;15082;Y;;;;"Абдоминальное ожирение (отложение жира в области талии) считается самым неблагоприятным для здоровья типом ожирения. Абдоминальное ожирение определяют посредством&nbsp;измерения&nbsp; окружности&nbsp;талии. При окружности талии более 94 см. у мужчин и более 80 см у женщин говорят об абдоминальном ожирении.&nbsp;";html;;;text;;500;;;;;
13903;Почему абдоминальное ожирение так опасно?;15083;Y;;;;"<p>
	 Подкожный жир, хотя и увеличивает риск ряда хронический заболеваний, на здоровье сердца и сосудов влияет не столь роковым образом, как висцеральный жир. Последний находится глубоко в брюшной полости, окружает внутренние органы и откладывается в области талии.
</p>
<p>
	 Избыточное количество висцерального жира способствует повышению уровня глюкозы и холестерина в крови, независимо от индекса массы тела. Исследования показывают, что абдоминальное ожирение является значимым независимым фактором риска развития инфаркта миокарда и сахарного диабета 2-го типа.&nbsp;
</p>";html;;;text;;500;;;;;
13904;Всегда ли избыточная масса тела – угроза для жизни и здоровья?;15084;Y;;;;"Ожирение провоцирует развитие артериальной гипертонии и сахарного диабета и очень часто с ними сочетается – пациентов с метаболическим синдромом много. Вместе с тем не у всех больных с ожирением отмечаются выраженные метаболические нарушения, особенно это касается молодых людей. По разным оценкам, от 10 до 40% людей с ожирением имеют нормальные показатели углеводного обмена, липидного профиля. Артериального давления. В этой связи даже появился термин «метаболически здоровое ожирение». 

На самом деле «металобически здоровое ожирение» - это вовсе не здоровье, а лишь вопрос времени: со временем оно имеет тенденцию становиться «метаболически нездоровым».";text;;"<p>
	 Ожирение провоцирует развитие артериальной гипертонии и сахарного диабета и очень часто с ними сочетается – пациентов с метаболическим синдромом много. Вместе с тем не у всех больных с ожирением отмечаются выраженные метаболические нарушения, особенно это касается молодых людей. По разным оценкам, от 10 до 40% людей с ожирением имеют нормальные показатели углеводного обмена, липидного профиля. Артериального давления. В этой связи даже появился термин «метаболически&nbsp;здоровое ожирение».
</p>
<p>
	 На самом деле «металобически&nbsp;здоровое ожирение» - это вовсе не здоровье, а лишь вопрос времени: со временем оно имеет тенденцию становиться «метаболически&nbsp;нездоровым».&nbsp;
</p>";html;;500;;;;;
13905;Как добиться снижения массы тела?;15085;Y;;;;"Для того, чтобы вес начал снижаться, организм должен использовать избыток жира. Но это не значит, что нужно голодать! Напротив, резкое снижение поступления питательных веществ сигнализирует организму, что наступили тяжелые дни, и он будет откладывать впрок каждую калорию. Более того. Значительное ограничение калорийности рациона провоцирует развитие нарушений пищевого поведения, в результате чего за первоначальным успехом неизбежно следует срыв и новый набор веса. Поэтому снижать массу тела необходимо очень постепенно. Снижение калорийности суточного рациона всего на 300-500 ккал позволяет сбросить 400-900 граммов за неделю. Если действовать постепенно и неуклонно. Можно в итоге избавиться от 20 кг веса и больше. Уменьшать калорийность нужно за счет рафинированных углеводов и жиров (не исключая их полностью!). делая упор на&nbsp;цельнозерновые&nbsp;продукты, бобовые, овощи и несладкие фрукты. Параллельно с изменением рациона питания необходима достаточная физическая активность – не менее получаса в день&nbsp;бОльшую&nbsp;часть дней недели.&nbsp;";html;;;text;;500;;;;;
